term,crn,location,day,start,end
Spring2019,37364,DSB 109,R,2019-01-24T09:30:00,2019-01-24T10:45:00
Spring2019,37364,DSB 109,M,2019-01-28T09:30:00,2019-01-28T10:45:00
Spring2019,37364,DSB 109,R,2019-01-31T09:30:00,2019-01-31T10:45:00
Spring2019,37364,DSB 109,M,2019-02-04T09:30:00,2019-02-04T10:45:00
Spring2019,37364,DSB 109,R,2019-02-07T09:30:00,2019-02-07T10:45:00
Spring2019,37364,DSB 109,M,2019-02-11T09:30:00,2019-02-11T10:45:00
Spring2019,37364,DSB 109,R,2019-02-14T09:30:00,2019-02-14T10:45:00
Spring2019,37364,DSB 109,R,2019-02-21T09:30:00,2019-02-21T10:45:00
Spring2019,37364,DSB 109,M,2019-02-25T09:30:00,2019-02-25T10:45:00
Spring2019,37364,DSB 109,R,2019-02-28T09:30:00,2019-02-28T10:45:00
Spring2019,37364,DSB 109,M,2019-03-04T09:30:00,2019-03-04T10:45:00
Spring2019,37364,DSB 109,R,2019-03-07T09:30:00,2019-03-07T10:45:00
Spring2019,37364,DSB 109,M,2019-03-11T09:30:00,2019-03-11T10:45:00
Spring2019,37364,DSB 109,R,2019-03-14T09:30:00,2019-03-14T10:45:00
Spring2019,37364,DSB 109,M,2019-03-25T09:30:00,2019-03-25T10:45:00
Spring2019,37364,DSB 109,R,2019-03-28T09:30:00,2019-03-28T10:45:00
Spring2019,37364,DSB 109,M,2019-04-01T09:30:00,2019-04-01T10:45:00
Spring2019,37364,DSB 109,R,2019-04-04T09:30:00,2019-04-04T10:45:00
Spring2019,37364,DSB 109,M,2019-04-08T09:30:00,2019-04-08T10:45:00
Spring2019,37364,DSB 109,R,2019-04-11T09:30:00,2019-04-11T10:45:00
Spring2019,37364,DSB 109,M,2019-04-15T09:30:00,2019-04-15T10:45:00
Spring2019,37364,DSB 109,R,2019-04-18T09:30:00,2019-04-18T10:45:00
Spring2019,37364,DSB 109,R,2019-04-25T09:30:00,2019-04-25T10:45:00
Spring2019,37364,DSB 109,M,2019-04-29T09:30:00,2019-04-29T10:45:00
Spring2019,37364,DSB 109,T,2019-02-19T09:30:00,2019-02-19T10:45:00
Spring2019,37723,DSB 109,R,2019-01-24T11:00:00,2019-01-24T12:15:00
Spring2019,37723,DSB 109,M,2019-01-28T11:00:00,2019-01-28T12:15:00
Spring2019,37723,DSB 109,R,2019-01-31T11:00:00,2019-01-31T12:15:00
Spring2019,37723,DSB 109,M,2019-02-04T11:00:00,2019-02-04T12:15:00
Spring2019,37723,DSB 109,R,2019-02-07T11:00:00,2019-02-07T12:15:00
Spring2019,37723,DSB 109,M,2019-02-11T11:00:00,2019-02-11T12:15:00
Spring2019,37723,DSB 109,R,2019-02-14T11:00:00,2019-02-14T12:15:00
Spring2019,37723,DSB 109,R,2019-02-21T11:00:00,2019-02-21T12:15:00
Spring2019,37723,DSB 109,M,2019-02-25T11:00:00,2019-02-25T12:15:00
Spring2019,37723,DSB 109,R,2019-02-28T11:00:00,2019-02-28T12:15:00
Spring2019,37723,DSB 109,M,2019-03-04T11:00:00,2019-03-04T12:15:00
Spring2019,37723,DSB 109,R,2019-03-07T11:00:00,2019-03-07T12:15:00
Spring2019,37723,DSB 109,M,2019-03-11T11:00:00,2019-03-11T12:15:00
Spring2019,37723,DSB 109,R,2019-03-14T11:00:00,2019-03-14T12:15:00
Spring2019,37723,DSB 109,M,2019-03-25T11:00:00,2019-03-25T12:15:00
